artist,song,album,album_type,release_date,artist_type,duration_ms,explicit,track_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,pop,dance,metal,rock,hip_hop,edm,r&b,country,emo,latin,k-pop,year
Kelly Clarkson,Because of You,Breakaway,album,2004-01-01,artist,219493,False,4,0.584,0.583,5,-5.284,0,0.0313,0.248,0.0,0.124,0.15,139.93,4,1,1,0,1,0,0,0,0,0,0,0,2004
Avril Lavigne,My Happy Ending,Under My Skin,album,2004-01-01,artist,242413,False,6,0.414,0.936,2,-2.407,1,0.0758,0.00136,0.0,0.369,0.74,170.229,4,1,1,0,0,0,0,0,0,0,0,0,2004
Ashlee Simpson,Pieces Of Me,Autobiography (International Version),album,2004-01-01,artist,217440,False,2,0.505,0.799,2,-4.286,1,0.077,0.0572,0.0,0.11,0.772,173.999,4,1,1,0,0,0,0,0,0,0,0,0,2004
Christina Milian,Dip It Low,Dip It Low,single,2004-01-01,artist,201000,False,1,0.754,0.718,11,-4.209,0,0.111,0.0122,0.000111,0.0923,0.576,169.116,4,1,1,0,0,1,0,1,0,0,0,0,2004
Mario Winans,I Don't Wanna Know - Main,I Don't Wanna Know,single,2004-01-01,artist,258813,False,1,0.847,0.479,11,-6.214,0,0.0471,0.35,0.00101,0.136,0.414,97.023,4,0,0,0,0,0,0,1,0,0,0,0,2004
McFly,That Girl,Room On The 3rd Floor,album,2004-01-01,artist,197213,False,4,0.429,0.978,8,-2.021,1,0.0675,0.0337,0.000173,0.0787,0.689,174.182,4,1,1,0,0,0,0,0,0,0,0,0,2004
McFly,Not Alone,Room On The 3rd Floor,album,2004-01-01,artist,260440,False,11,0.231,0.739,4,-3.415,1,0.0314,0.014,3.67e-05,0.0962,0.191,180.185,4,1,1,0,0,0,0,0,0,0,0,0,2004
Kelly Clarkson,Behind These Hazel Eyes,Breakaway,album,2004-01-01,artist,198973,False,3,0.547,0.895,9,-4.64,1,0.0407,0.00223,0.00069,0.184,0.499,90.013,4,1,1,0,1,0,0,0,0,0,0,0,2004
Papa Roach,Scars,Getting Away With Murder,album,2004-01-01,artist,208199,False,8,0.448,0.925,11,-3.291,1,0.0506,0.0893,0.0,0.221,0.468,89.853,4,0,0,1,1,1,0,0,0,0,0,0,2004
Hawthorne Heights,Ohio Is for Lovers,The Silence In Black and White - Re-Issue,album,2004-01-01,artist,244480,False,8,0.568,0.835,8,-6.896,0,0.0687,0.0411,0.0,0.357,0.625,170.045,4,1,0,0,1,0,0,0,0,1,0,0,2004
Kelly Clarkson,Since U Been Gone,Breakaway,album,2004-01-01,artist,188960,False,2,0.663,0.739,9,-5.354,0,0.0322,0.00206,0.0586,0.113,0.382,130.998,4,1,1,0,1,0,0,0,0,0,0,0,2004
Eamon,Fuck It (I Don't Want You Back),F**k It,single,2004-01-28,artist,225626,True,1,0.827,0.612,0,-6.347,0,0.0613,0.1,4.33e-06,0.0461,0.516,68.505,4,0,0,0,0,0,0,0,0,0,0,0,2004
Usher,Yeah!,Yeah!,single,2004-02-09,artist,250066,False,1,0.895,0.795,2,-4.693,1,0.0977,0.0219,0.0,0.0403,0.574,105.004,4,1,1,0,0,1,0,1,0,0,0,0,2004
Usher,Caught Up,Confessions,album,2004-03-23,artist,224640,False,7,0.814,0.818,6,-4.63,1,0.0556,0.0261,7.43e-06,0.126,0.768,110.075,4,1,1,0,0,1,0,1,0,0,0,0,2004
Usher,Burn - Confession Special Edition Version,Confessions,album,2004-03-23,artist,231933,False,6,0.8,0.459,1,-7.143,1,0.115,0.319,0.0,0.117,0.707,119.944,4,1,1,0,0,1,0,1,0,0,0,0,2004
Usher,Confessions Part II,Confessions (Expanded Edition),album,2004-03-23,artist,211200,False,5,0.845,0.467,1,-7.674,1,0.138,0.0586,0.0,0.0694,0.702,138.007,4,1,1,0,0,1,0,1,0,0,0,0,2004
South,Paint The Silence,Music From The O.C. Mix 1,compilation,2004-03-30,artist,353800,False,1,0.548,0.735,9,-6.578,1,0.0275,0.000313,0.666,0.368,0.41,115.017,4,0,0,0,0,0,0,0,0,0,0,0,2004
Kevin Lyttle,Turn Me On,Turn Me On (Online Music),single,2004-03-30,artist,192106,False,1,0.677,0.682,9,-6.879,1,0.0361,0.0405,0.0,0.0351,0.875,106.279,4,0,0,0,0,0,0,0,0,0,0,0,2004
Sugarcult,Memory,Palm Trees and Power Lines,album,2004-04-13,artist,226080,False,3,0.449,0.864,1,-3.892,1,0.0352,2.04e-05,0.0,0.108,0.713,167.154,4,1,0,0,1,0,0,0,0,1,0,0,2004
Hoobastank,The Reason,The Reason,album,2004-04-27,artist,232800,False,8,0.474,0.659,4,-4.667,1,0.0292,0.0125,0.0,0.154,0.075,82.957,4,1,0,1,1,0,0,0,0,0,0,0,2004
Avril Lavigne,Don't Tell Me,Under My Skin,album,2004-05-13,artist,202013,False,3,0.525,0.797,4,-2.914,1,0.0375,0.0042,1.02e-06,0.358,0.44,144.128,4,1,1,0,0,0,0,0,0,0,0,0,2004
My Chemical Romance,Helena,Three Cheers for Sweet Revenge,album,2004-06-08,artist,204733,False,1,0.356,0.96,4,-3.487,1,0.104,0.0142,0.0,0.209,0.0857,125.921,4,1,0,0,1,0,0,0,0,1,0,0,2004
My Chemical Romance,I'm Not Okay (I Promise),Three Cheers for Sweet Revenge,album,2004-06-08,artist,186480,True,5,0.21,0.94,9,-3.427,1,0.123,0.00602,0.0,0.269,0.255,179.722,4,1,0,0,1,0,0,0,0,1,0,0,2004
Ryan Cabrera,True,Take It All Away (U.S. Version),album,2004-06-08,artist,204173,False,3,0.598,0.4,6,-10.054,1,0.0241,0.459,0.0,0.151,0.369,96.938,4,1,0,0,1,0,0,0,0,0,0,0,2004
Ryan Cabrera,On the Way Down,Take It All Away (U.S. Version),album,2004-06-08,artist,213280,False,2,0.5,0.845,1,-5.015,1,0.0369,0.00184,0.0,0.106,0.539,95.199,4,1,0,0,1,0,0,0,0,0,0,0,2004
The Killers,Mr. Brightside,Hot Fuss,album,2004-06-15,artist,222075,False,2,0.351,0.928,1,-3.71,1,0.0759,0.00113,0.0,0.0988,0.239,148.03,4,0,1,0,1,0,0,0,0,0,0,0,2004
Daddy Yankee,Gasolina,Gasolina,single,2004-07-13,artist,192560,False,1,0.853,0.808,0,-6.494,1,0.0575,0.331,5.44e-06,0.0643,0.729,96.02,4,0,0,0,0,1,0,0,0,0,1,0,2004
JoJo,Leave Get Out,Jojo,album,2004-07-19,artist,241866,False,8,0.686,0.575,5,-6.89,1,0.22,0.169,9.11e-05,0.0899,0.492,86.992,4,1,1,0,0,1,0,1,0,0,0,0,2004
Gavin DeGraw,Chariot,Chariot - Stripped,album,2004-07-26,artist,239173,False,2,0.281,0.779,7,-5.104,1,0.0514,0.0437,0.0,0.37,0.344,167.172,4,1,0,0,1,0,0,0,0,0,0,0,2004
Gavin DeGraw,I Don't Want to Be,Chariot - Stripped,album,2004-07-26,artist,217760,False,8,0.423,0.862,0,-5.13,0,0.0695,0.00791,0.0,0.133,0.462,154.746,4,1,0,0,1,0,0,0,0,0,0,0,2004
Natasha Bedingfield,Unwritten,Unwritten,album,2004-09-06,artist,255000,False,3,0.752,0.794,7,-5.74,0,0.0588,0.00398,0.0,0.0513,0.76,99.966,4,1,1,0,1,1,0,0,0,0,0,0,2004
Bowling For Soup,1985,A Hangover You Don't Deserve,album,2004-09-11,artist,193000,False,3,0.607,0.878,4,-4.422,1,0.0665,0.000246,0.0,0.337,0.853,119.955,4,1,0,0,1,0,0,0,0,0,0,0,2004
